UID          PID    PPID  C STIME TTY          TIME CMD
root        2453     730  1 07:58 ?        00:03:45 /snap/multipass/10244/usr/bin/qemu-system-x86_64 -bios OVMF.fd --enable-kvm -cpu host -nic tap,ifname=tap-f5c1ecf472e,script=no,downscript=no,model=virtio-net-pci,mac=52:54:00:bb:61:a5 -device virtio-scsi-pci,id=scsi0 -drive file=/var/snap/multipass/common/data/multipassd/vault/instances/happening-shearwater/focal-server-cloudimg-amd64.img,if=none,format=qcow2,discard=unmap,id=hda -device scsi-hd,drive=hda,bus=scsi0.0 -smp 1 -m 1024M -qmp stdio -chardev null,id=char0 -serial chardev:char0 -nographic -cdrom /var/snap/multipass/common/data/multipassd/vault/instances/happening-shearwater/cloud-init-config.iso
root        2456       2  0 07:58 ?        00:00:00 [kvm]
root        2457       2  0 07:58 ?        00:00:00 [kvm-nx-lpage-recovery-2453]
root        2461       2  0 07:58 ?        00:00:00 [kvm-pit/2453]
root        2656     789  0 08:03 ?        00:00:00 gdm-session-worker [pam/gdm-password]
bansikah    2669       1  0 08:03 ?        00:00:04 /lib/systemd/systemd --user
bansikah    2671    2669  0 08:03 ?        00:00:00 (sd-pam)
bansikah    2677    2669  0 08:03 ?        00:00:00 /usr/bin/pipewire
bansikah    2678    2669  0 08:03 ?        00:00:00 /usr/bin/pipewire-media-session
bansikah    2679    2669  1 08:03 ?        00:04:07 /usr/bin/pulseaudio --daemonize=no --log-target=journal
bansikah    2689       1  0 08:03 ?        00:00:02 /usr/bin/gnome-keyring-daemon --daemonize --login
bansikah    2698    2669  0 08:03 ?        00:00:08 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
bansikah    2707    2669  0 08:03 ?        00:00:00 /usr/libexec/gvfsd
bansikah    2708    2669  0 08:03 ?        00:00:01 /usr/libexec/xdg-document-portal
bansikah    2714    2669  0 08:03 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
bansikah    2718    2669  0 08:03 ?        00:00:00 /usr/libexec/xdg-permission-store
bansikah    2719    2656  0 08:03 tty2     00:00:00 /usr/libexec/gdm-wayland-session env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
bansikah    2732    2719  0 08:03 tty2     00:00:00 /usr/libexec/gnome-session-binary --session=ubuntu
root        2742    2708  0 08:03 ?        00:00:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
bansikah    2825    2669  0 08:03 ?        00:00:00 /usr/libexec/gnome-remote-desktop-daemon
bansikah    2827    2669  0 08:03 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
bansikah    2847    2669  0 08:03 ?        00:00:01 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
bansikah    2874    2847  0 08:03 ?        00:00:00 /usr/libexec/at-spi-bus-launcher --launch-immediately
bansikah    2883    2669 32 08:03 ?        01:16:09 /usr/bin/gnome-shell
bansikah    2885    2874  0 08:03 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus
root        2892       2  0 08:03 ?        00:00:00 [krfcommd]
bansikah    2917    2669  0 08:03 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
bansikah    2923    2669  0 08:03 ?        00:00:00 /usr/libexec/evolution-source-registry
bansikah    2930    2669  0 08:03 ?        00:00:00 /usr/libexec/goa-daemon
bansikah    2932    2669  0 08:03 ?        00:00:00 /usr/libexec/dconf-service
bansikah    2936    2669  0 08:03 ?        00:00:00 /usr/libexec/evolution-calendar-factory
bansikah    2944    2669  0 08:03 ?        00:00:00 /usr/libexec/goa-identity-service
bansikah    2946    2669  0 08:03 ?        00:00:07 /usr/libexec/gvfs-udisks2-volume-monitor
bansikah    2962    2669  0 08:03 ?        00:00:00 /snap/snapd-desktop-integration/83/usr/bin/snapd-desktop-integration
bansikah    2968    2669  0 08:03 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
bansikah    2969    2669  0 08:03 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
bansikah    2984    2669  0 08:03 ?        00:00:01 /usr/libexec/gvfs-afc-volume-monitor
bansikah    3005    2669  0 08:03 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
bansikah    3024    2669  0 08:03 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
bansikah    3067    2962  0 08:03 ?        00:00:01 /snap/snapd-desktop-integration/83/usr/bin/snapd-desktop-integration
bansikah    3071    2669  0 08:03 ?        00:00:02 /usr/libexec/xdg-desktop-portal
bansikah    3075    2669  0 08:03 ?        00:00:02 /usr/libexec/xdg-desktop-portal-gnome
bansikah    3078    2707  0 08:03 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.3 /org/gtk/gvfs/exec_spaw/0
bansikah    3095    2669  0 08:03 ?        00:00:02 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
bansikah    3097    2669  0 08:03 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
bansikah    3108    2669  0 08:03 ?        00:00:00 sh -c /usr/bin/ibus-daemon --panel disable $([ "$XDG_SESSION_TYPE" = "x11" ] && echo "--xim")
bansikah    3109    2669  0 08:03 ?        00:00:00 /usr/libexec/gsd-a11y-settings
bansikah    3110    2669  0 08:03 ?        00:00:00 /usr/libexec/gsd-color
bansikah    3112    2669  0 08:03 ?        00:00:00 /usr/libexec/gsd-datetime
bansikah    3114    2669  0 08:03 ?        00:00:03 /usr/libexec/gsd-housekeeping
bansikah    3116    2669  0 08:03 ?        00:00:00 /usr/libexec/gsd-keyboard
bansikah    3119    2669  0 08:03 ?        00:00:00 /usr/libexec/gsd-media-keys
bansikah    3120    2669  0 08:03 ?        00:00:00 /usr/libexec/gsd-power
bansikah    3121    3108  0 08:03 ?        00:01:01 /usr/bin/ibus-daemon --panel disable
bansikah    3125    2669  0 08:03 ?        00:00:00 /usr/libexec/gsd-print-notifications
bansikah    3128    2669  0 08:03 ?        00:00:00 /usr/libexec/gsd-rfkill
bansikah    3129    2669  0 08:03 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
bansikah    3131    2669  0 08:03 ?        00:00:05 /usr/libexec/gsd-sharing
bansikah    3134    2669  0 08:03 ?        00:00:00 /usr/libexec/gsd-smartcard
bansikah    3137    2669  0 08:03 ?        00:00:00 /usr/libexec/gsd-sound
bansikah    3138    2669  0 08:03 ?        00:00:00 /usr/libexec/gsd-wacom
bansikah    3176    2847  0 08:03 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
bansikah    3177    2847  0 08:03 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
bansikah    3181    2669  0 08:03 ?        00:00:00 /usr/libexec/gsd-printer
